SQLDATE,DATEADDED,MonthYear,Year,Actor1Name,Actor1CountryCode,Actor1Type1Code,Actor2Name,Actor2CountryCode,Actor2Type1Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,AvgTone,NumMentions,NumSources,NumArticles,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_Lat,ActionGeo_Long,SOURCEURL,event_date,event_month,event_quarter,event_root_label,tone_category,stability_category,propagation_delay_days,source_domain,is_crisis_period,benin_role,actor1_type_label,actor2_type_label,quad_class_label
2025-01-02,2026-01-02,202501,2025,UNITED KINGDOM,GBR,,NIGERIA,NGA,,0,040,040,04,1,1.0,-5.93406593406593,2,1,2,Benin,BN,9.5,2.25,https://punchng.com/obasekis-ally-house-burnt-in-edo/,2025-01-02,1,2025Q1,Consultation,Négatif,Neutre,365,punchng.com,True,Contexte,Non identifié,Non identifié,Coopération verbale
2025-02-15,2026-02-15,202502,2025,AFRICA,AFR,CVL,GHANA,GHA,,0,0841,084,08,2,7.0,1.21802679658952,4,1,4,Benin,BN,9.5,2.25,https://www.newsghana.com.gh/african-leaders-call-for-political-action-to-accelerate-visa-free-continental-integration/,2025-02-15,2,2025Q1,Diplomatie,Neutre,Stabilisant,365,newsghana.com.gh,False,Contexte,Civil / Population,Non identifié,Coopération matérielle
2025-02-21,2026-02-21,202502,2025,GUNMEN,,UAF,,,,0,181,181,18,4,-9.0,-8.92857142857142,10,1,10,Benin,BN,9.5,2.25,https://www.premiumtimesng.com/regional/south-south-regional/858679-edo-demolishes-building-linked-to-alleged-cult-members.html,2025-02-21,2,2025Q1,Attentat / Explosion,Négatif,Déstabilisant,365,premiumtimesng.com,True,Contexte,Forces armées non identifiées,Non identifié,Conflit matériel
2025-02-27,2026-02-27,202502,2025,BENIN,BEN,,NIGERIAN,NGA,,0,190,190,19,4,-10.0,-7.40740740740741,2,1,2,"Niamey, Niamey, Niger",NG,13.5167,2.11667,https://allafrica.com/stories/202602270106.html,2025-02-27,2,2025Q1,Violence de masse,Négatif,Déstabilisant,365,allafrica.com,True,Acteur,Non identifié,Non identifié,Conflit matériel
2025-12-31,2025-12-31,202512,2025,BENIN,BEN,,,,,1,043,043,04,1,2.8,-1.09589041095891,10,1,10,Benin,BN,9.5,2.25,https://www.rewmi.com/koulibaly-la-rdc-va-faire-des-ravages-jen-suis-convaincu/,2025-12-31,12,2025Q4,Consultation,Neutre,Neutre,0,rewmi.com,False,Acteur,Non identifié,Non identifié,Coopération verbale
2025-12-31,2025-12-31,202512,2025,COMMANDANT,,MIL,,,,1,010,010,01,1,0.0,-9.57746478873238,5,1,5,Benin,BN,9.5,2.25,https://dailypost.ng/2025/12/31/nscdc-arrests-suspected-oil-installation-vandal-in-edo/,2025-12-31,12,2025Q4,Déclaration publique,Négatif,Neutre,0,dailypost.ng,True,Contexte,Militaire,Non identifié,Coopération verbale
2025-12-31,2025-12-31,202512,2025,OPERATIVE,,SPY,,,,1,1712,171,17,4,-9.2,-9.57746478873238,10,1,10,Benin,BN,9.5,2.25,https://dailypost.ng/2025/12/31/nscdc-arrests-suspected-oil-installation-vandal-in-edo/,2025-12-31,12,2025Q4,Assaut,Négatif,Déstabilisant,0,dailypost.ng,True,Contexte,Renseignement,Non identifié,Conflit matériel
2025-12-31,2025-12-31,202512,2025,THE UN,,IGO,,,,0,012,012,01,1,-0.4,-7.81796966161027,1,1,1,Benin,BN,9.5,2.25,https://www.aa.com.tr/en/africa/year-ender-africa-in-2025-2-military-coups-and-1-failed-attempt/3786062,2025-12-31,12,2025Q4,Déclaration publique,Négatif,Neutre,0,aa.com.tr,True,Contexte,Organisation internationale,Non identifié,Coopération verbale
2025-12-31,2025-12-31,202512,2025,ACTOR,,ELI,,,,0,020,020,02,1,3.0,-3.19705727798214,20,2,20,Benin,BN,9.5,2.25,https://www.leral.net/560-MILLIARDS-MOBILISES-SUR-LE-MARCHE-Succes-technique-contrainte-structurelle_a393187.html,2025-12-31,12,2025Q4,Appel / Demande,Négatif,Neutre,0,leral.net,False,Contexte,Élite politique,Non identifié,Coopération verbale
2025-12-31,2025-12-31,202512,2025,POLICE,,COP,,,,0,090,090,09,2,-2.0,-5.65428109854608,4,1,4,Benin,BN,9.5,2.25,https://peoplesdailyng.com/between-the-palace-and-the-police-where-does-justice-for-don-pedro-obaseki-lie/,2025-12-31,12,2025Q4,Sanctions économiques,Négatif,Neutre,0,peoplesdailyng.com,True,Contexte,Police,Non identifié,Coopération matérielle
2025-12-31,2025-12-31,202512,2025,,,,BENIN,BEN,,1,042,042,04,1,1.9,-1.09589041095891,10,1,10,Benin,BN,9.5,2.25,https://www.rewmi.com/koulibaly-la-rdc-va-faire-des-ravages-jen-suis-convaincu/,2025-12-31,12,2025Q4,Consultation,Neutre,Neutre,0,rewmi.com,False,Spectateur,Non identifié,Non identifié,Coopération verbale
2025-12-31,2025-12-31,202512,2025,BENIN,BEN,,BENIN,BEN,MIL,1,190,190,19,4,-10.0,-9.76800976800972,2,1,2,Benin,BN,9.5,2.25,https://www.firstpost.com/world/2025-year-ender-how-coups-conflicts-and-fragile-truces-disrupted-the-global-order-in-2025-ws-e-13937702.html,2025-12-31,12,2025Q4,Violence de masse,Négatif,Déstabilisant,0,firstpost.com,True,Mixte,Non identifié,Militaire,Conflit matériel
2025-12-31,2025-12-31,202512,2025,BENIN,BEN,,LIEUTENANT COLONEL,,MIL,1,190,190,19,4,-10.0,-9.76800976800972,8,1,8,Benin,BN,9.5,2.25,https://www.firstpost.com/world/2025-year-ender-how-coups-conflicts-and-fragile-truces-disrupted-the-global-order-in-2025-ws-e-13937702.html,2025-12-31,12,2025Q4,Violence de masse,Négatif,Déstabilisant,0,firstpost.com,True,Acteur,Non identifié,Militaire,Conflit matériel
2025-12-31,2025-12-31,202512,2025,BENIN,BEN,MIL,BENIN,BEN,,1,190,190,19,4,-10.0,-9.76800976800972,2,1,2,Benin,BN,9.5,2.25,https://www.firstpost.com/world/2025-year-ender-how-coups-conflicts-and-fragile-truces-disrupted-the-global-order-in-2025-ws-e-13937702.html,2025-12-31,12,2025Q4,Violence de masse,Négatif,Déstabilisant,0,firstpost.com,True,Mixte,Militaire,Non identifié,Conflit matériel
2025-12-31,2025-12-31,202512,2025,LIEUTENANT COLONEL,,MIL,BENIN,BEN,,1,190,190,19,4,-10.0,-9.76800976800972,8,1,8,Benin,BN,9.5,2.25,https://www.firstpost.com/world/2025-year-ender-how-coups-conflicts-and-fragile-truces-disrupted-the-global-order-in-2025-ws-e-13937702.html,2025-12-31,12,2025Q4,Violence de masse,Négatif,Déstabilisant,0,firstpost.com,True,Spectateur,Militaire,Non identifié,Conflit matériel
2025-12-31,2025-12-31,202512,2025,CAPTAIN,,MIL,SENEGAL,SEN,,1,010,010,01,1,0.0,-1.09589041095891,10,1,10,Benin,BN,9.5,2.25,https://www.rewmi.com/koulibaly-la-rdc-va-faire-des-ravages-jen-suis-convaincu/,2025-12-31,12,2025Q4,Déclaration publique,Neutre,Neutre,0,rewmi.com,False,Contexte,Militaire,Non identifié,Coopération verbale
2025-12-31,2025-12-31,202512,2025,SENEGAL,SEN,,BENIN,BEN,,1,020,020,02,1,3.0,-1.0204081632653,10,1,10,Benin,BN,9.5,2.25,https://fr.allafrica.com/view/group/main/main/id/00095248.html,2025-12-31,12,2025Q4,Appel / Demande,Neutre,Neutre,0,fr.allafrica.com,False,Spectateur,Non identifié,Non identifié,Coopération verbale
2025-12-31,2025-12-31,202512,2025,GOVERNMENT,,GOV,COMPANY,,BUS,1,173,173,17,4,-5.0,-9.57746478873238,5,1,5,Benin,BN,9.5,2.25,https://dailypost.ng/2025/12/31/nscdc-arrests-suspected-oil-installation-vandal-in-edo/,2025-12-31,12,2025Q4,Assaut,Négatif,Déstabilisant,0,dailypost.ng,True,Contexte,Gouvernement,Entreprise,Conflit matériel
2025-12-31,2025-12-31,202512,2025,COMMANDANT,,MIL,BENIN CITY,NGA,,1,010,010,01,1,0.0,-9.57746478873238,5,1,5,Benin,BN,9.5,2.25,https://dailypost.ng/2025/12/31/nscdc-arrests-suspected-oil-installation-vandal-in-edo/,2025-12-31,12,2025Q4,Déclaration publique,Négatif,Neutre,0,dailypost.ng,True,Contexte,Militaire,Non identifié,Coopération verbale
2025-12-31,2025-12-31,202512,2025,BENIN,BEN,,TOGO,TGO,,0,080,080,08,2,5.0,-7.81796966161027,2,1,2,Benin,BN,9.5,2.25,https://www.aa.com.tr/en/africa/year-ender-africa-in-2025-2-military-coups-and-1-failed-attempt/3786062,2025-12-31,12,2025Q4,Diplomatie,Négatif,Stabilisant,0,aa.com.tr,True,Acteur,Non identifié,Non identifié,Coopération matérielle
2025-12-31,2025-12-31,202512,2025,BENIN,BEN,,TOGO,TGO,,0,110,110,11,3,-2.0,-7.81796966161027,2,1,2,Benin,BN,9.5,2.25,https://www.aa.com.tr/en/africa/year-ender-africa-in-2025-2-military-coups-and-1-failed-attempt/3786062,2025-12-31,12,2025Q4,Désapprobation,Négatif,Neutre,0,aa.com.tr,True,Acteur,Non identifié,Non identifié,Conflit verbal
2025-12-31,2025-12-31,202512,2025,ALASSANE SEIDOU,BEN,GOV,GOVERNMENT,,GOV,0,060,060,06,2,6.0,-7.81796966161027,2,1,2,Benin,BN,9.5,2.25,https://www.aa.com.tr/en/africa/year-ender-africa-in-2025-2-military-coups-and-1-failed-attempt/3786062,2025-12-31,12,2025Q4,Coopération,Négatif,Stabilisant,0,aa.com.tr,True,Acteur,Gouvernement,Gouvernement,Coopération matérielle
2025-12-31,2025-12-31,202512,2025,MADAGASCAR,MDG,,BENIN,BEN,,1,110,110,11,3,-2.0,-7.81796966161027,1,1,1,Benin,BN,9.5,2.25,https://www.aa.com.tr/en/africa/year-ender-africa-in-2025-2-military-coups-and-1-failed-attempt/3786062,2025-12-31,12,2025Q4,Désapprobation,Négatif,Neutre,0,aa.com.tr,True,Spectateur,Non identifié,Non identifié,Conflit verbal
2025-12-31,2025-12-31,202512,2025,BENIN,BEN,,UEMOA,WAF,IGO,0,071,071,07,2,7.4,-3.19705727798214,20,2,20,Benin,BN,9.5,2.25,https://www.leral.net/560-MILLIARDS-MOBILISES-SUR-LE-MARCHE-Succes-technique-contrainte-structurelle_a393187.html,2025-12-31,12,2025Q4,Aide matérielle,Négatif,Stabilisant,0,leral.net,False,Acteur,Non identifié,Organisation internationale,Coopération matérielle
2025-12-31,2025-12-31,202512,2025,BENIN,BEN,,UEMOA,WAF,IGO,0,071,071,07,2,7.4,-2.56410256410257,2,1,2,Benin,BN,9.5,2.25,https://fr.allafrica.com/stories/202512310244.html,2025-12-31,12,2025Q4,Aide matérielle,Négatif,Stabilisant,0,fr.allafrica.com,False,Acteur,Non identifié,Organisation internationale,Coopération matérielle
2025-12-31,2025-12-31,202512,2025,CHINA,CHN,,BENIN,BEN,,1,061,061,06,2,6.4,0.74626865671642,10,1,10,"Beijing, Beijing, China",CH,39.9289,116.388,https://www.dw.com/bg/zaso-v-afrika-vse-pomasovo-ucat-kitajski/a-75000032,2025-12-31,12,2025Q4,Coopération,Neutre,Stabilisant,0,dw.com,False,Spectateur,Non identifié,Non identifié,Coopération matérielle
2025-12-31,2025-12-31,202512,2025,BENIN,BEN,,TOGO,TGO,,0,080,080,08,2,5.0,-7.81796966161027,2,1,2,Togo,TO,8.0,1.166667,https://www.aa.com.tr/en/africa/year-ender-africa-in-2025-2-military-coups-and-1-failed-attempt/3786062,2025-12-31,12,2025Q4,Diplomatie,Négatif,Stabilisant,0,aa.com.tr,True,Acteur,Non identifié,Non identifié,Coopération matérielle
2025-12-31,2025-12-31,202512,2025,ALASSANE SEIDOU,BEN,GOV,GOVERNMENT,,GOV,0,060,060,06,2,6.0,-7.81796966161027,3,1,3,Togo,TO,8.0,1.166667,https://www.aa.com.tr/en/africa/year-ender-africa-in-2025-2-military-coups-and-1-failed-attempt/3786062,2025-12-31,12,2025Q4,Coopération,Négatif,Stabilisant,0,aa.com.tr,True,Acteur,Gouvernement,Gouvernement,Coopération matérielle
2025-12-31,2025-12-31,202512,2025,MADAGASCAR,MDG,,BENIN,BEN,,1,110,110,11,3,-2.0,-7.81796966161027,4,1,4,"Anadolu, Turkey (general), Turkey",TU,39.0,35.0,https://www.aa.com.tr/en/africa/year-ender-africa-in-2025-2-military-coups-and-1-failed-attempt/3786062,2025-12-31,12,2025Q4,Désapprobation,Négatif,Neutre,0,aa.com.tr,True,Spectateur,Non identifié,Non identifié,Conflit verbal
2025-03-07,2026-03-07,202503,2025,,,,NIGERIAN,NGA,,1,190,190,19,4,-10.0,-5.81761006289308,10,1,10,"Borgou, Borgou, Benin",BN,9.75,2.75,http://www.nigeriasun.com/news/278907556/benin-and-nigeria-join-forces-to-fight-growing-cross-border-terrorism,2025-03-07,3,2025Q1,Violence de masse,Négatif,Déstabilisant,365,nigeriasun.com,True,Contexte,Non identifié,Non identifié,Conflit matériel
2025-01-10,2026-01-10,202501,2025,AL QAEDA,,IMG,BENIN,BEN,,1,190,190,19,4,-10.0,-3.62204724409449,10,1,10,Benin,BN,9.5,2.25,https://www.abc.com.py/internacionales/2026/01/10/benin-celebrara-elecciones-legislativas-y-municipales-entre-tension-politica-y-seguridad/,2025-01-10,1,2025Q1,Violence de masse,Négatif,Déstabilisant,365,abc.com.py,True,Spectateur,Non identifié,Non identifié,Conflit matériel
2025-03-09,2026-03-09,202503,2025,,,,NIGERIAN,NGA,,0,190,190,19,4,-10.0,-5.15021459227467,2,1,2,"Borgou, Borgou, Benin",BN,9.75,2.75,https://allafrica.com/stories/202603090010.html,2025-03-09,3,2025Q1,Violence de masse,Négatif,Déstabilisant,365,allafrica.com,True,Contexte,Non identifié,Non identifié,Conflit matériel
2025-03-04,2026-03-04,202503,2025,PRISONER,,OPP,,,,1,022,022,02,1,3.2,-2.62172284644194,10,1,10,Benin,BN,9.5,2.25,https://lanouvelletribune.info/2026/03/benin-des-fideles-musulmans-implorent-la-clemence-de-talon-pour-reckya-madougou-5-ans-apres-son-arrestation/,2025-03-04,3,2025Q1,Appel / Demande,Négatif,Stabilisant,365,lanouvelletribune.info,False,Contexte,Opposition politique,Non identifié,Coopération verbale
2025-02-26,2026-02-26,202502,2025,GOVERNOR,,GOV,,,,1,020,020,02,1,3.0,-3.62537764350453,3,1,3,Benin,BN,9.5,2.25,https://www.nigerianeye.com/2026/02/edo-attack-peter-obi-should-have.html,2025-02-26,2,2025Q1,Appel / Demande,Négatif,Neutre,365,nigerianeye.com,False,Contexte,Gouvernement,Non identifié,Coopération verbale
2025-03-06,2026-03-06,202503,2025,,,,BENIN,BEN,,1,060,060,06,2,6.0,-8.67768595041322,10,1,10,Benin,BN,9.5,2.25,https://www.diariosigloxxi.com/texto-ep/mostrar/20260306085421/mueren-15-militares-ataque-ejecutado-supuestos-yihadistas-contra-puesto-norte-benin,2025-03-06,3,2025Q1,Coopération,Négatif,Stabilisant,365,diariosigloxxi.com,True,Spectateur,Non identifié,Non identifié,Coopération matérielle
2025-03-06,2026-03-06,202503,2025,,,,BENIN,BEN,,1,186,186,18,4,-10.0,-8.67768595041322,10,1,10,Benin,BN,9.5,2.25,https://www.diariosigloxxi.com/texto-ep/mostrar/20260306085421/mueren-15-militares-ataque-ejecutado-supuestos-yihadistas-contra-puesto-norte-benin,2025-03-06,3,2025Q1,Attentat / Explosion,Négatif,Déstabilisant,365,diariosigloxxi.com,True,Spectateur,Non identifié,Non identifié,Conflit matériel
2025-12-23,2026-01-22,202512,2025,KAMBA,,,FIGHTER,,UAF,0,190,190,19,4,-10.0,-6.33408071748879,6,1,6,Benin,BN,9.5,2.25,https://punchng.com/counter-terrorism-campaign-fg-moves-to-fast-track-trial-of-5000-insurgents/,2025-12-23,12,2025Q4,Violence de masse,Négatif,Déstabilisant,30,punchng.com,True,Contexte,Non identifié,Forces armées non identifiées,Conflit matériel
2025-01-14,2026-01-14,202501,2025,AMBASSADOR,,GOV,AMBASSADOR,,GOV,1,050,050,05,1,3.5,-0.29585798816569,10,1,10,Benin,BN,9.5,2.25,https://agenciabrasil.ebc.com.br/internacional/noticia/2026-01/benin-oferece-cidadania-diaspora-africana,2025-01-14,1,2025Q1,Engagement / Soutien,Neutre,Stabilisant,365,agenciabrasil.ebc.com.br,False,Contexte,Gouvernement,Gouvernement,Coopération verbale
2025-02-25,2026-02-25,202502,2025,HOSPITAL,,HLH,SCHOOL,,EDU,0,070,070,07,2,7.0,-4.70383275261324,6,1,6,Benin,BN,9.5,2.25,https://dailytrust.com/okpebholo-blames-rift-among-adc-members-for-attack-on-obi/,2025-02-25,2,2025Q1,Aide matérielle,Négatif,Stabilisant,365,dailytrust.com,False,Contexte,Santé,Éducation,Coopération matérielle
2025-02-25,2026-02-25,202502,2025,HOSPITAL,,HLH,SCHOOL,,EDU,0,070,070,07,2,7.0,-4.70383275261324,2,1,2,Benin,BN,9.5,2.25,https://dailytrust.com/okpebholo-blames-rift-among-adc-members-for-attack-on-obi/,2025-02-25,2,2025Q1,Aide matérielle,Négatif,Stabilisant,365,dailytrust.com,False,Contexte,Santé,Éducation,Coopération matérielle
2025-02-27,2026-02-27,202502,2025,BURKINA FASO,BFA,,BENIN,BEN,,1,042,042,04,1,1.9,-5.42005420054201,2,1,2,"Kwara, Tahoua, Niger",NG,14.1213,5.0281,https://dailytrust.com/nigeria-benin-niger-border-new-hotspot-of-jihadist-violence-study/,2025-02-27,2,2025Q1,Consultation,Négatif,Neutre,365,dailytrust.com,True,Spectateur,Non identifié,Non identifié,Coopération verbale
2025-02-27,2026-02-27,202502,2025,NIGER,NER,,BENIN,BEN,,1,042,042,04,1,1.9,-5.42005420054201,4,1,4,"Kwara, Tahoua, Niger",NG,14.1213,5.0281,https://dailytrust.com/nigeria-benin-niger-border-new-hotspot-of-jihadist-violence-study/,2025-02-27,2,2025Q1,Consultation,Négatif,Neutre,365,dailytrust.com,True,Spectateur,Non identifié,Non identifié,Coopération verbale
2025-02-27,2026-02-27,202502,2025,NIGER,NER,,BENIN,BEN,,1,042,042,04,1,1.9,-5.42005420054201,6,1,6,"Kwara, Tahoua, Niger",NG,14.1213,5.0281,https://dailytrust.com/nigeria-benin-niger-border-new-hotspot-of-jihadist-violence-study/,2025-02-27,2,2025Q1,Consultation,Négatif,Neutre,365,dailytrust.com,True,Spectateur,Non identifié,Non identifié,Coopération verbale
2025-02-27,2026-02-27,202502,2025,BURKINA FASO,BFA,,BENIN,BEN,,1,042,042,04,1,1.9,-5.42005420054201,4,1,4,"Kwara, Tahoua, Niger",NG,14.1213,5.0281,https://dailytrust.com/nigeria-benin-niger-border-new-hotspot-of-jihadist-violence-study/,2025-02-27,2,2025Q1,Consultation,Négatif,Neutre,365,dailytrust.com,True,Spectateur,Non identifié,Non identifié,Coopération verbale
2025-02-27,2026-02-27,202502,2025,BENIN,BEN,,BURKINA FASO,BFA,,1,043,043,04,1,2.8,-5.42005420054201,2,1,2,"Kwara, Tahoua, Niger",NG,14.1213,5.0281,https://dailytrust.com/nigeria-benin-niger-border-new-hotspot-of-jihadist-violence-study/,2025-02-27,2,2025Q1,Consultation,Négatif,Neutre,365,dailytrust.com,True,Acteur,Non identifié,Non identifié,Coopération verbale
2025-02-27,2026-02-27,202502,2025,BENIN,BEN,,NIGER,NER,,1,043,043,04,1,2.8,-5.42005420054201,6,1,6,"Kwara, Tahoua, Niger",NG,14.1213,5.0281,https://dailytrust.com/nigeria-benin-niger-border-new-hotspot-of-jihadist-violence-study/,2025-02-27,2,2025Q1,Consultation,Négatif,Neutre,365,dailytrust.com,True,Acteur,Non identifié,Non identifié,Coopération verbale
2025-02-27,2026-02-27,202502,2025,BENIN,BEN,,NIGER,NER,,1,043,043,04,1,2.8,-5.42005420054201,4,1,4,"Kwara, Tahoua, Niger",NG,14.1213,5.0281,https://dailytrust.com/nigeria-benin-niger-border-new-hotspot-of-jihadist-violence-study/,2025-02-27,2,2025Q1,Consultation,Négatif,Neutre,365,dailytrust.com,True,Acteur,Non identifié,Non identifié,Coopération verbale
2025-02-27,2026-02-27,202502,2025,BENIN,BEN,,NIGERIAN,NGA,,0,190,190,19,4,-10.0,-5.42005420054201,2,1,2,"Niamey, Niamey, Niger",NG,13.5167,2.11667,https://dailytrust.com/nigeria-benin-niger-border-new-hotspot-of-jihadist-violence-study/,2025-02-27,2,2025Q1,Violence de masse,Négatif,Déstabilisant,365,dailytrust.com,True,Acteur,Non identifié,Non identifié,Conflit matériel
2025-02-27,2026-02-27,202502,2025,BENIN,BEN,,NIGERIAN,NGA,,0,190,190,19,4,-10.0,-5.42005420054201,2,1,2,"Kebbi, Sokoto, Nigeria",NI,12.1288,4.73509,https://dailytrust.com/nigeria-benin-niger-border-new-hotspot-of-jihadist-violence-study/,2025-02-27,2,2025Q1,Violence de masse,Négatif,Déstabilisant,365,dailytrust.com,True,Acteur,Non identifié,Non identifié,Conflit matériel
2025-02-27,2026-02-27,202502,2025,BENIN,BEN,,BURKINA FASO,BFA,,1,043,043,04,1,2.8,-5.42005420054201,4,1,4,"Kwara, Tahoua, Niger",NG,14.1213,5.0281,https://dailytrust.com/nigeria-benin-niger-border-new-hotspot-of-jihadist-violence-study/,2025-02-27,2,2025Q1,Consultation,Négatif,Neutre,365,dailytrust.com,True,Acteur,Non identifié,Non identifié,Coopération verbale
2025-01-08,2026-01-08,202501,2025,NIGERIAN,NGA,,BENIN,BEN,,1,043,043,04,1,2.8,0.5050505050505,1,1,1,"Cross River State, Cross River, Nigeria",NI,5.75,8.5,https://thewhistler.ng/fg-secures-release-of-nigerian-pastor-serving-10-year-sentence-in-benin-republic/,2025-01-08,1,2025Q1,Consultation,Neutre,Neutre,365,thewhistler.ng,False,Spectateur,Non identifié,Non identifié,Coopération verbale
2025-01-08,2026-01-08,202501,2025,NIGERIAN,NGA,,BENIN,BEN,,1,043,043,04,1,2.8,0.5050505050505,1,1,1,Benin,BN,9.5,2.25,https://thewhistler.ng/fg-secures-release-of-nigerian-pastor-serving-10-year-sentence-in-benin-republic/,2025-01-08,1,2025Q1,Consultation,Neutre,Neutre,365,thewhistler.ng,False,Spectateur,Non identifié,Non identifié,Coopération verbale
2025-01-08,2026-01-08,202501,2025,NIGERIA,NGA,,COTONOU,BEN,HLH,0,042,042,04,1,1.9,4.11899313501144,2,1,2,"Cross River State, Cross River, Nigeria",NI,5.75,8.5,https://www.thisdaylive.com/2026/01/08/nigeria-secures-pastor-egbajis-release-from-benin-republic/,2025-01-08,1,2025Q1,Consultation,Positif,Neutre,365,thisdaylive.com,False,Spectateur,Non identifié,Santé,Coopération verbale
2025-01-08,2026-01-08,202501,2025,COTONOU,BEN,HLH,AMBASSADOR,,GOV,0,043,043,04,1,2.8,4.11899313501144,6,1,6,Benin,BN,9.5,2.25,https://www.thisdaylive.com/2026/01/08/nigeria-secures-pastor-egbajis-release-from-benin-republic/,2025-01-08,1,2025Q1,Consultation,Positif,Neutre,365,thisdaylive.com,False,Acteur,Santé,Gouvernement,Coopération verbale
2025-01-08,2026-01-08,202501,2025,AMBASSADOR,,GOV,COTONOU,BEN,HLH,0,020,020,02,1,3.0,4.11899313501144,6,1,6,Benin,BN,9.5,2.25,https://www.thisdaylive.com/2026/01/08/nigeria-secures-pastor-egbajis-release-from-benin-republic/,2025-01-08,1,2025Q1,Appel / Demande,Positif,Neutre,365,thisdaylive.com,False,Spectateur,Gouvernement,Santé,Coopération verbale
2025-01-08,2026-01-08,202501,2025,AMBASSADOR,,GOV,COTONOU,BEN,HLH,0,042,042,04,1,1.9,4.11899313501144,6,1,6,Benin,BN,9.5,2.25,https://www.thisdaylive.com/2026/01/08/nigeria-secures-pastor-egbajis-release-from-benin-republic/,2025-01-08,1,2025Q1,Consultation,Positif,Neutre,365,thisdaylive.com,False,Spectateur,Gouvernement,Santé,Coopération verbale
2025-01-08,2026-01-08,202501,2025,,,,NIGERIAN,NGA,,1,173,173,17,4,-5.0,0.5050505050505,6,1,6,Benin,BN,9.5,2.25,https://thewhistler.ng/fg-secures-release-of-nigerian-pastor-serving-10-year-sentence-in-benin-republic/,2025-01-08,1,2025Q1,Assaut,Neutre,Déstabilisant,365,thewhistler.ng,False,Contexte,Non identifié,Non identifié,Conflit matériel
2025-01-08,2026-01-08,202501,2025,NIGERIA,NGA,GOV,MINIST OF FOREIGN AFFAIRS,,GOV,0,020,020,02,1,3.0,4.11899313501144,2,1,2,Benin,BN,9.5,2.25,https://www.thisdaylive.com/2026/01/08/nigeria-secures-pastor-egbajis-release-from-benin-republic/,2025-01-08,1,2025Q1,Appel / Demande,Positif,Neutre,365,thisdaylive.com,False,Contexte,Gouvernement,Gouvernement,Coopération verbale
2025-01-08,2026-01-08,202501,2025,BENIN,BEN,,NIGERIAN,NGA,,1,042,042,04,1,1.9,0.5050505050505,1,1,1,"Cross River State, Cross River, Nigeria",NI,5.75,8.5,https://thewhistler.ng/fg-secures-release-of-nigerian-pastor-serving-10-year-sentence-in-benin-republic/,2025-01-08,1,2025Q1,Consultation,Neutre,Neutre,365,thewhistler.ng,False,Acteur,Non identifié,Non identifié,Coopération verbale
2025-01-08,2026-01-08,202501,2025,BENIN,BEN,,NIGERIAN,NGA,,1,042,042,04,1,1.9,0.5050505050505,1,1,1,Benin,BN,9.5,2.25,https://thewhistler.ng/fg-secures-release-of-nigerian-pastor-serving-10-year-sentence-in-benin-republic/,2025-01-08,1,2025Q1,Consultation,Neutre,Neutre,365,thewhistler.ng,False,Acteur,Non identifié,Non identifié,Coopération verbale
2025-01-08,2026-01-08,202501,2025,BENIN,BEN,,NIGERIAN,NGA,,1,173,173,17,4,-5.0,0.5050505050505,2,1,2,Benin,BN,9.5,2.25,https://thewhistler.ng/fg-secures-release-of-nigerian-pastor-serving-10-year-sentence-in-benin-republic/,2025-01-08,1,2025Q1,Assaut,Neutre,Déstabilisant,365,thewhistler.ng,False,Acteur,Non identifié,Non identifié,Conflit matériel
2025-01-08,2026-01-08,202501,2025,COTONOU,BEN,HLH,NIGERIA,NGA,,0,043,043,04,1,2.8,4.11899313501144,2,1,2,"Cross River State, Cross River, Nigeria",NI,5.75,8.5,https://www.thisdaylive.com/2026/01/08/nigeria-secures-pastor-egbajis-release-from-benin-republic/,2025-01-08,1,2025Q1,Consultation,Positif,Neutre,365,thisdaylive.com,False,Acteur,Santé,Non identifié,Coopération verbale
2025-04-01,2026-04-01,202504,2025,UNITED STATES,USA,,,,,1,010,010,01,1,0.0,-5.55555555555555,4,1,4,Benin,BN,9.5,2.25,https://www.mediapool.bg/vissh-amerikanski-sluzhitel-tvardi-che-e-bil-teleportiran-v-zakusvalnya-news381918.html,2025-04-01,4,2025Q2,Déclaration publique,Négatif,Neutre,365,mediapool.bg,True,Contexte,Non identifié,Non identifié,Coopération verbale
2025-03-27,2026-03-27,202503,2025,RADIO STATION,,MED,,,,0,190,190,19,4,-10.0,-0.94637223974763,1,1,1,"Banikoara, Alibori, Benin",BN,11.2984,2.43856,https://www.swissinfo.ch/eng/war-peace/women-harvest-hope-as-extremist-threat-grows-in-benin/91162140,2025-03-27,3,2025Q1,Violence de masse,Neutre,Déstabilisant,365,swissinfo.ch,True,Contexte,Médias,Non identifié,Conflit matériel
2025-03-27,2026-03-27,202503,2025,BANDIT,,CRM,BRIGADIER GENERAL,,MIL,1,190,190,19,4,-10.0,-4.33070866141732,6,1,6,Benin,BN,9.5,2.25,https://dailypost.ng/2026/03/27/nigerian-newspapers-10-things-you-need-to-know-friday-morning-121/,2025-03-27,3,2025Q1,Violence de masse,Négatif,Déstabilisant,365,dailypost.ng,True,Contexte,Criminalité,Militaire,Conflit matériel
